2025-01-05 00:00:00 [scheduling-1] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:01:25 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:05:13 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:05:50 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:16:44 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:23:14 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:25:15 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:32:38 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 00:59:04 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 01:03:24 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 01:03:39 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 01:03:42 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 01:04:24 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-05 01:08:40 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:11:22 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:14:08 [http-nio-8080-exec-1] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-06 23:16:30 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:18:55 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:19:19 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:19:50 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:20:17 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:21:30 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:21:44 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:23:32 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:29:24 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:34:21 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:35:21 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:36:06 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:37:26 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:40:23 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-06 23:40:27 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
