2025-01-07 14:32:59 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 14:33:19 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 14:33:31 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 14:34:35 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 14:34:52 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 14:38:10 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 14:38:17 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 22:27:02 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 22:27:14 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: SIGN_IN
2025-01-07 22:27:26 [http-nio-8080-exec-3] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 22:36:07 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 22:51:49 [http-nio-8080-exec-8] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 22:54:16 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 22:55:04 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 23:08:16 [http-nio-8080-exec-1] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:08:34 [http-nio-8080-exec-3] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:08:39 [http-nio-8080-exec-5] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:09:08 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:09:29 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:09:42 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:10:18 [restartedMain] INFO  USER_LOGS - User: Admin ZeroDay, Action: SIGN_IN
2025-01-07 23:10:23 [http-nio-8080-exec-1] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:10:44 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:10:51 [http-nio-8080-exec-9] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:11:37 [http-nio-8080-exec-5] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:13:57 [http-nio-8080-exec-8] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:14:28 [http-nio-8080-exec-10] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:14:33 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:14:42 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:14:50 [http-nio-8080-exec-1] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:15:08 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:15:18 [http-nio-8080-exec-9] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:16:51 [http-nio-8080-exec-3] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:17:11 [http-nio-8080-exec-8] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:18:47 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:22:39 [http-nio-8080-exec-9] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:24:33 [http-nio-8080-exec-3] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:24:41 [http-nio-8080-exec-8] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:25:13 [http-nio-8080-exec-10] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:25:19 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:25:26 [http-nio-8080-exec-2] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:25:30 [http-nio-8080-exec-1] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:25:44 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:27:08 [http-nio-8080-exec-7] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:30:01 [http-nio-8080-exec-10] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:30:16 [http-nio-8080-exec-4] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
2025-01-07 23:32:35 [http-nio-8080-exec-6] INFO  USER_LOGS - User: EdouardY, Action: CREATE_POST
